Temp,WS,WD
4.400000095,2.599999905,178
4.400000095,2.283333321,182.4166667
6.310999958,2.106666648,175.7833333
7.026987949,2.037349389,185.1686747
7.938321166,1.109489058,235.0729927
7.239171587,1.995266276,240.5147929
8.666038568,2.512077281,226.7536232
10.96090891,3.732323218,272.2626263
12.37569427,3.84305554,281.5277778
12.89693889,4.248979568,283.7142857
14.58458348,3.797916676,315.625
14.79662359,4.727272764,322.025974
14.13039079,4.738281261,327.1953125
13.33071414,4.904464304,329.3214286
13.05562876,4.501197601,324.8203593
12.10281522,4.049159657,326.3697479
9.222370353,3.54518517,350.362963
7.712839497,2.816049382,349.7283951
6.79245449,2.779090916,348.6272727
6.028956409,2.71043476,345.6
5.485555384,2.127777753,326.1018519
4.714545423,2.29669422,40.14049587
3.595312517,1.924218733,215.046875
2.671349191,1.663492057,26.1031746
1.876893914,1.803030285,352.6666667
1.224594562,2.074774754,352.2882883
1.876893914,1.803030285,352.6666667
1.224594562,2.074774754,352.2882883
-0.136238529,1.962385286,345.5688073
-0.209999993,1.815306108,275.0204082
-0.369538456,1.913846141,30.18461538
0.152355537,2.060444423,174.6266667
0.077454549,1.973181779,181.5590909
0.603368428,1.448421057,38.90526316
2.369017831,1.935714266,32.44642857
3.46151512,1.630303041,66.39393939
3.923313218,1.465662649,39.75903614
4.597120465,1.050972775,102.5875486
3.650853608,1.290243895,24.51829268
3.968563233,1.075287355,55.63793103
2.737361125,0.408333343,116.5763889
2.116290353,0.598387103,196.4032258
1.68232756,1.201724149,212.2672414
1.191360001,1.31039999,206.672
1.188031504,1.219685044,202.2677165
1.348888903,1.226851867,203.6018519
1.346818207,1.278409087,201.125
1.758666697,0.898888885,198.7111111
1.981971835,1.459154915,189.2676056
2.303538443,2.003076902,185.5846154
2.303538443,2.003076902,185.5846154
2.800000072,1.025000013,231.5
3.287345139,1.099999996,240.6106195
3.624226786,0.974226798,213.1546392
3.994915259,1.265254253,223.0762712
3.163930288,1.709950243,229.6567164
4.108783806,1.493918921,264.0608108
4.340625003,1.246875007,299.953125
4.340625003,1.246875007,299.953125
7.743678082,2.159770091,318.4137931
8.895259108,2.389629636,346.0296296
9.616499988,2.474999988,312.925
8.397739835,2.281506848,330.109589
6.668136169,2.319713256,324.1290323
7.066958764,2.47783503,325.1649485
5.933092747,2.051546378,335.2783505
5.396635492,1.197196257,326.0747664
5.010967747,1.367741922,311.8172043
