19.5,20,0.5,330.7
19.5,20,1.5,348.8
19.5,20,2.5,355.2
19.5,20,3.5,357.8
19.5,20,4.5,369.3
19.5,20,5.5,370.4
19.5,20,6.5,375.2
19.5,20,7.5,375.7
19.5,20,8.5,381.5
19.5,20,9.5,386.7
19.5,20,10.5,392.8
19.5,20,11.5,397.7
19.5,20,12.5,405.4
19.5,20,13.5,413.2
19.5,20,14.5,421.8
19.5,20,15.5,423.1
19.5,20,16.5,428.1
19.5,20,17.5,434.1
19.5,20,18.5,439.1
19.5,20,19.5,440.2
18.5,20,0.5,302.4
18.5,20,1.5,332.4
18.5,20,2.5,344.9
18.5,20,3.5,351.9
18.5,20,4.5,358.9
18.5,20,5.5,360.4
18.5,20,6.5,364.6
18.5,20,7.5,370.5
18.5,20,8.5,379.6
18.5,20,9.5,384.9
18.5,20,10.5,388.2
18.5,20,11.5,394.4
18.5,20,12.5,406.0
18.5,20,13.5,412.8
18.5,20,14.5,418.9
18.5,20,15.5,424.4
18.5,20,16.5,425.7
18.5,20,17.5,433.3
18.5,20,18.5,438.7
18.5,20,19.5,435.5
17.5,20,0.5,290.8
17.5,20,1.5,321.6
17.5,20,2.5,337.8
17.5,20,3.5,345.6
17.5,20,4.5,350.0
17.5,20,5.5,355.7
17.5,20,6.5,360.1
17.5,20,7.5,367.1
17.5,20,8.5,369.7
17.5,20,9.5,376.4
17.5,20,10.5,385.3
17.5,20,11.5,390.5
17.5,20,12.5,399.7
17.5,20,13.5,405.4
17.5,20,14.5,416.1
17.5,20,15.5,426.5
17.5,20,16.5,426.4
17.5,20,17.5,428.5
17.5,20,18.5,435.3
17.5,20,19.5,435.1
16.5,20,0.5,279.9
16.5,20,1.5,306.9
16.5,20,2.5,324.6
16.5,20,3.5,337.2
16.5,20,4.5,339.9
16.5,20,5.5,349.8
16.5,20,6.5,355.8
16.5,20,7.5,359.1
16.5,20,8.5,365.3
16.5,20,9.5,375.3
16.5,20,10.5,381.8
16.5,20,11.5,388.4
16.5,20,12.5,399.0
16.5,20,13.5,405.9
16.5,20,14.5,411.5
16.5,20,15.5,421.2
16.5,20,16.5,424.7
16.5,20,17.5,426.9
16.5,20,18.5,434.7
16.5,20,19.5,436.9
15.5,20,0.5,275.8
15.5,20,1.5,302.8
15.5,20,2.5,320.5
15.5,20,3.5,330.1
15.5,20,4.5,337.2
15.5,20,5.5,347.2
15.5,20,6.5,351.2
15.5,20,7.5,357.5
15.5,20,8.5,363.9
15.5,20,9.5,370.8
15.5,20,10.5,374.4
15.5,20,11.5,382.8
15.5,20,12.5,396.6
15.5,20,13.5,401.0
15.5,20,14.5,410.0
15.5,20,15.5,424.5
15.5,20,16.5,430.3
15.5,20,17.5,425.4
15.5,20,18.5,434.1
15.5,20,19.5,435.7
14.5,20,0.5,275.4
14.5,20,1.5,302.3
14.5,20,2.5,318.2
14.5,20,3.5,324.8
14.5,20,4.5,338.4
14.5,20,5.5,347.6
14.5,20,6.5,348.1
14.5,20,7.5,354.9
14.5,20,8.5,363.0
14.5,20,9.5,368.9
14.5,20,10.5,375.7
14.5,20,11.5,382.9
14.5,20,12.5,389.1
14.5,20,13.5,397.9
14.5,20,14.5,407.4
14.5,20,15.5,421.4
